image,description,price en FCFA
https://www.auchan.sn/12579-home_default/joya-couches-culottes-bebe-maxi-taille-4-918-kg-x28.jpg,Joya couches culottes bébé maxi taille 4 9/18 kg x28,4750
https://www.auchan.sn/12348-home_default/joya-lingettes-bebe-a-lamande-douce-x72.jpg,Joya lingettes bébé à l\'amande douce x72,990
https://www.auchan.sn/12344-home_default/auchan-baby-couches-bebe-n°-1-25-kg-x22.jpg,Auchan Baby couches bébé N° 1 2/5 kg x22,3190
https://www.auchan.sn/12343-home_default/auchan-baby-couches-bebe-n°-2-36-kg-x36.jpg,Auchan Baby couches bébé N° 2 3/6 kg x36,5990
https://www.auchan.sn/11200-home_default/allido-couches-bebe-3-6kg-x5.jpg,Allido couches bébé 3-6kg x5,650
https://www.auchan.sn/3074-home_default/allido-couches-4-9kg-5.jpg,Allido couches 4-9kg*5,650
https://www.auchan.sn/11202-home_default/sweety-couche-36kg-x36.jpg,Sweety couche 3/6kg x36,3490
https://www.auchan.sn/11603-home_default/libero-peaudouce-couches-reg-3-6kg-x40.jpg,Libero Peaudouce couches reg 3-6kg x40,4550
https://www.auchan.sn/12589-home_default/joya-couches-bebe-mini-taille-12-35-kg-x42.jpg,Joya couches bébé mini taille 1/2 3/5 kg x42,4690
https://www.auchan.sn/11201-home_default/pampers-gm-3-6kg-x40.jpg,Pampers GM 3-6kg (x40),6190
https://www.auchan.sn/19628-home_default/angel-sing-3-6kg-couche.jpg,Angel Sing 3-6KG couche,125
https://www.auchan.sn/21923-home_default/tima-couche-bebe-mini-36-kg.jpg,Tima Couche Bébé Mini 3/6 KG,1225
https://www.auchan.sn/21595-home_default/tima-babe-couche-x-36-36kg.jpg,Tima Babe couche X 36 3/6KG,3190
https://www.auchan.sn/26882-home_default/auchan-bebe-couches-taille-3-4-9kg-50-couche.jpg,AUCHAN Bébé Couches taille 3 (4-9kg) 50 couche,7250
https://www.auchan.sn/11323-home_default/couches-tijinou-baby-6-11kg-x32pcs.jpg,Couches Tijinou baby 6-11kg x32pcs,3525
https://www.auchan.sn/12578-home_default/joya-couches-bebe-midi-taille-3-510-kg-x38.jpg,Joya couches bébé midi taille 3 5/10 kg x38,4690
https://www.auchan.sn/13796-home_default/molfix-couches-bebe-4-9-kg-taille-3-midi-x36.jpg,Molfix couches bébé 4-9 kg taille 3 midi x36,4850
https://www.auchan.sn/themes/child_auchansenegal/assets/img/Pastille_Auchan.svg,Angel Medium100 couche bébé 5-10k,9990
https://www.auchan.sn/15955-home_default/baby-star-couches-4-9kg-x-100.jpg,Baby Star couches 4-9KG X 100,12750
https://www.auchan.sn/26862-home_default/huggies-little-swimmers-maillots-de-bain-jetables-taille-3-et-4-7-15kg-20-culottes.jpg,HUGGIES Little swimmers maillots de bain jetables taille 3 et 4 (7-15kg) 20 culottes,13890
https://www.auchan.sn/themes/child_auchansenegal/assets/img/Pastille_Auchan.svg,Angel Sing couche 5-10KG,125
https://www.auchan.sn/21925-home_default/tima-couche-bebe-mini-49-kg.jpg,Tima Couche Bébé Mini 4/9 KG,1190
https://www.auchan.sn/19630-home_default/tima-baby-x32-couche-49-kg.jpg,Tima Baby X32 couche 4/9 KG,3190
https://www.auchan.sn/2433-home_default/allido-couches-7-18kg.jpg,Allido couches 7-18kg,775
https://www.auchan.sn/11321-home_default/couches-tijinou-baby-8-18kg-x28pcs.jpg,Couches Tijinou Baby 8-18kg x28pcs,3525
https://www.auchan.sn/11216-home_default/sweety-couche-718kg-x28.jpg,Sweety couche 7/18kg x28,3490
https://www.auchan.sn/12581-home_default/couches-joya-9-18kg-x34.jpg,Couches Joya 9- 18KG X34,4690
https://www.auchan.sn/18985-home_default/molfix-couches-bebe-8-a-18-kg-x32-couches.jpg,Molfix couches bébé 8 à 18 kg x32 couches,4850
https://www.auchan.sn/13797-home_default/molfix-couches-culottes-9-14-kg-taille-4-maxi-x28.jpg,Molfix couches culottes 9-14 kg taille 4 maxi x28,4990
https://www.auchan.sn/26624-home_default/pampers-harmonie-couches-taille-4-9-14kg.jpg,PAMPERS Harmonie couches taille 4 (9-14kg),13625
